Male,Female,Total_Beneficiaries,# of HHs,State,TS,TS_PCODE,Total_amount
0,0,0,0,,Tachileik,MMR016009,0
0,0,0,0,,Tada-U,MMR010016,0
0,0,0,0,,Taikkyi,MMR013005,0
0,0,0,0,,Tamwe,MMR013015,0
0,0,0,0,,Tanai,MMR001004,0
0,0,0,0,,Taungdwingyi,MMR009004,0
0,0,0,0,,Taunggyi,MMR014001,0
0,0,0,0,,Taungoo,MMR007009,0
0,0,0,0,,Taungtha,MMR010018,0
0,0,0,0,,Taze,MMR005011,0
0,0,0,0,,Thabeikkyin,MMR010012,0
0,0,0,0,,Thaketa,MMR013013,0
0,0,0,0,,Thanatpin,MMR007002,0
0,0,0,0,,Thanbyuzayat,MMR011004,0
0,0,0,0,,Thandaunggyi,MMR003004,0
0,0,0,0,,Thandwe,MMR012015,0
0,0,0,0,,Thanlyin,MMR013023,0
0,0,0,0,,Thaton,MMR011007,0
0,0,0,0,,Thayarwady,MMR008007,0
0,0,0,0,,Thayet,MMR009012,0
0,0,0,0,,Thayetchaung,MMR006003,0
0,0,0,0,,Thazi,MMR010030,0
0,0,0,0,,Thegon,MMR008005,0
0,0,0,0,,Thingangyun,MMR013009,0
0,0,0,0,,Thongwa,MMR013025,0
0,0,0,0,,Tigyaing,MMR005022,0
0,0,0,0,,Tilin,MMR009024,0
0,0,0,0,,Tonzang,MMR004005,0
0,0,0,0,,Toungup,MMR012016,0
0,0,0,0,,Tsawlaw,MMR001006,0
0,0,0,0,,Twantay,MMR013027,0
0,0,0,0,,Wakema,MMR017017,0
0,0,0,0,,Waw,MMR007004,0
0,0,0,0,,Wetlet,MMR005006,0
0,0,0,0,,Wundwin,MMR010031,0
0,0,0,0,,Wuntho,MMR005025,0
0,0,0,0,,Yamethin,MMR010023,0
0,0,0,0,,Yankin,MMR013010,0
0,0,0,0,,Ye,MMR011006,0
0,0,0,0,,Yebyu,MMR006004,0
0,0,0,0,,Yedashe,MMR007010,0
0,0,0,0,,Yegyi,MMR017006,0
0,0,0,0,,Ye-U,MMR005009,0
0,0,0,0,,Yinmabin,MMR005016,0
0,0,0,0,,Ywangan,MMR014007,0
0,0,0,0,,Za Bu Thi Ri,MMR018002,0
0,0,0,0,,Zalun,MMR017009,0
0,0,0,0,,Zay Yar Thi Ri,MMR018001,0
0,0,0,0,,Zigon,MMR008011,0
